number	nameHu	scientificName	origin	protection	occurrence	localHabitat	maxSize	category
26	Széles kárász	Carassius carassius	Ő	–	●●	lápok, holtágak, Kis-Balaton	~50 cm	kezdő
27	Ezüstkárász	Carassius gibelio	I	inváziós	●●●	szinte minden lassú/állóvíz	~50 cm	kezdő
28	Compó	Tinca tinca	Ő	–	●●	Kis-Balaton, holtágak, tavak	~70 cm	kezdő
29	Szivárványos ökle	Rhodeus amarus	Ő	védett	●●	Zala, Mura-rendszer, csatornák	~10 cm	kezdő
30	Fenékjáró küllő	Gobio gobio	Ő	védett	●●	patakok, folyók	~20 cm	kezdő
31	Halványfoltú küllő	Romanogobio vladykovi	Ő	védett	●●	Mura-rendszer	~15 cm	szakértő
32	Homoki küllő	Romanogobio kesslerii	Ő	védett	●	Mura	~15 cm	szakértő
33	Felpillantó küllő	Romanogobio uranoscopus	Ő	védett	●	Mura	~15 cm	szakértő
34	Kínai razbóra	Pseudorasbora parva	I	inváziós	●●●	Kis-Balaton, csatornák, tavak	~12 cm	kezdő
35	Amur	Ctenopharyngodon idella	I	telepített	●●	tavak, Mura	~150 cm	kezdő
36	Fehér busa	Hypophthalmichthys molitrix	I	telepített	●	tavak, Balaton-rendszer	~120 cm	kezdő
37	Pettyes busa	Hypophthalmichthys nobilis	I	telepített	●	nagyobb tavak	~150 cm	kezdő
38	Busa-hibrid	H. molitrix × H. nobilis	I	–	●●	nagyobb tavak/Balaton-rendszer	>100 cm	szakértő
39	Vágócsík	Cobitis elongatoides	Ő	védett	●●	Mura, Kerka, Zala-rendszer	~15 cm	kezdő
40	Törpecsík	Sabanejewia balcanica	Ő	védett	●	Mura-rendszer	~12 cm	szakértő
41	Réticsík	Misgurnus fossilis	Ő	védett	●●	Kis-Balaton, lápok, csatornák	~30 cm	kezdő
42	Kövicsík	Barbatula barbatula	Ő	védett	●●	patakok, Kerka-rendszer	~20 cm	szakértő
43	Harcsa	Silurus glanis	Ő	–	●●	Mura, Zala, Kis-Balaton, tavak	~250+ cm	kezdő
44	Törpeharcsa	Ameiurus nebulosus	I	inváziós	●	lassú/állóvizek	~45 cm	kezdő
45	Fekete törpeharcsa	Ameiurus melas	I	inváziós	●●●	Kis-Balaton, tavak, holtágak	~50 cm	szakértő
46	Menyhal	Lota lota	Ő	–	●●	Mura és folyóvizek	~100 cm	kezdő
47	Lápi póc	Umbra krameri	Ő	fokozottan védett	●●	Kis-Balaton, Mura holtágai, csatornák	~15 cm	kezdő
48	Naphal	Lepomis gibbosus	I	inváziós	●●●	tavak, holtágak, csatornák	~25 cm	kezdő
49	Sügér	Perca fluviatilis	Ő	–	●●●	szinte minden nagyobb víz	~50 cm	kezdő
50	Süllő	Sander lucioperca	Ő	–	●●	Mura, Kis-Balaton, tavak	~120 cm	kezdő
51	Kősüllő	Sander volgensis	Ő	–	●	Balaton/Zala-rendszer	~50 cm	kezdő
52	Vágódurbincs	Gymnocephalus cernua	Ő	–	●●	Mura, Zala/Kis-Balaton	~25 cm	kezdő
53	Széles durbincs	Gymnocephalus baloni	Ő	védett	●	Mura	~20 cm	szakértő
54	Selymes durbincs	Gymnocephalus schraetser	Ő	védett	●	Mura	~30 cm	szakértő
55	Magyar bucó	Zingel zingel	Ő	fokozottan védett	●	Mura	~50 cm	szakértő
56	Botos kölönte	Cottus gobio	Ő	védett	●●	Mura, hűvösebb vízfolyások	~18 cm	szakértő
57	Folyami géb	Neogobius fluviatilis	I	inváziós	●●	Zala, Kis-Balaton-rendszer	~20 cm	szakértő
58	Amurgéb	Perccottus glenii	I	inváziós	●●	Kis-Balaton, csatornák	~25 cm	szakértő
